word,mean,Junior,Senior,CET4,CET6,GEE,GRE,SAT,TOEFL,check
incompatibility,"n. 不两立, 不相容",,,,☆,,,,☆,
incompatible,adj.  不兼容的； 不协调的， 合不来的,,,,☆,,☆,,☆,
incompetence,n. 无能,,,,☆,,,,,
incompetent,adj. 无能力的，不胜任的,,,,☆,,☆,,,
incomplete,"adj. 不完全的, 不完整的",,,,☆,,,,☆,
incompletely,adv. 不完全地,,,,,,,,☆,
incomprehensible,adj. 费解的；不可思议的；无限的,,,,,,,☆,☆,
inconclusive,"adj. 非决定性的,不确定的",,,,,,,,☆,
incongruent,a. 不协调的，不和谐的，不合适的,,,,,,☆,,,
incongruity,"n. 不调和的, 不适宜的",,,,,,☆,,☆,
incongruous,adj. 不协调的；不一致的；不和谐的,,,,,,,☆,☆,
inconsequential,adj. 不重要的；不合理的；不合逻辑的,,,,,,☆,☆,,
inconsistency,n. 矛盾,,,,,,,,☆,
inconsistent,adj.  不一致的； 不协调的； 矛盾,,,,,,,☆,,
inconspicuous,adj.  不引人瞩目的， 不显眼的,,,,,,,,☆,
inconspicuously,"adv. 难以觉察地, 不显著地",,,,,,,,☆,
inconstancy,n.(指人)反复无常,,,,,,☆,,,
incontrovertible,adj.  无可争议的， 无疑的， 明白的,,,,,,☆,☆,,
inconvenient,adj.  不便的； 让人不舒服的,,,,,,,☆,☆,
incorporate,v. 包含，吸收；体现；把……合并 adj. 合并的；一体化的；组成公司的,,,,☆,☆,☆,☆,☆,
incorporation,n. 合并；组建公司,,,,,,,,☆,
incorporeal,a. 无实体的，非物质的，灵魂的,,,,,,☆,,,
incorrect,adj. 错误的，不正确的；不适当的；不真实的,,☆,☆,,,,,☆,
incorrectly,"adv. 错误地,不适当地",,,,,,,,☆,
incorrigibility,n.无可救药，难以修正,,,,,,☆,,,
incorrigible,adj. 不可救药的；积习难改的 n. 不可救药的人,,,,,,☆,☆,,
incorruptible,a.(道德上)不受腐蚀的,,,,,,☆,,,
increase,n. 增加，增长；提高 v. 增加，增大；繁殖,☆,☆,☆,,☆,,,,
increasingly,adv. 不断增加地， 日益,,,☆,,☆,,,☆,
incredible,adj. 不能相信的， 不可信的； 难以置信的， 不可思议的； 惊人的,,,☆,☆,☆,,,☆,
incredulity,n.怀疑，不相信,,,,,,☆,,,
incredulous,adj.  怀疑的， 不轻信的,,,,,,,☆,☆,
increment,n.  增加； 增量； 定期的加薪,,,,,,☆,,☆,
incriminate,v.  控告…有罪； 使负罪； 控告,,,,,,☆,☆,,
incrustation,n. 硬壳，外层,,,,,,☆,,,
incubate,v.  孵化； 培育； 潜伏,,,,,,☆,,☆,
incubation,"n. 孵化, 熟虑",,,,,,☆,,☆,
incubator,"n. 培养的器具, 孵卵器",,,,,,☆,,☆,
incubus,n.恶梦；梦魇般的精神压力，负担,,,,,,☆,☆,,
inculcate,v.灌输，谆谆教诲,,,,,,☆,,,
inculpable,adj. 无辜的；无可非议的,,,,,,,☆,,
inculpate,v.连累；控告,,,,,,☆,,,
incumbent,adj. 现任的；依靠的；负有职责的 n. 在职者；现任者；领圣俸者,,,,,,☆,☆,,
incur,vt.  招致， 招惹， 遭受,,,,☆,☆,☆,,☆,
incursion,n.  袭击， 突然入侵； 介入,,,,,,,,☆,
indebted,adj. 负债的；感激的；受惠的 v. 使负债；使受恩惠（indebt的过去分词）,,,,,,☆,☆,☆,
indecipherable,adj. 无法解释的；破译不出的；难辨认的,,,,,,☆,☆,☆,
indecisive,a.非决定性的，非最终的；迟疑不决的,,,,,,☆,,,
indeed,adv. 的确；实在；真正地；甚至 int. 真的（表示惊讶、怀疑、讽刺等）,,☆,☆,,,,,☆,
indefatigable,a.不知疲倦的,,,,,,☆,,,
indefinite,adj. 无限期的； 模糊的， 不确定的,,,☆,☆,,,,☆,
indefinitely,adv. 不确定地，无限期地；模糊地，不明确地,,,,,,,☆,☆,
indelible,adj.  去不掉的， 不能拭除的,,,,,,☆,☆,,
indemnify,v.赔偿，偿付,,,,,,☆,,,
indemnity,n.赔偿；(为防损失或伤害的)保证，保险,,,,,,☆,,,
indent,v.切割成锯齿状,,,,,,☆,,,
indenture,n.契约，合同,,,,,,☆,,,
independence,n. 独立性，自立性；自主,,☆,☆,☆,☆,,,☆,
independent,adj.  独立的， 自主的； 自立的； 不相干的， 不受影响的； 无偏见的， 中立的； 私立的； 有主见的； 无党派的,,☆,☆,,☆,,☆,☆,
independently,adv. 独立地,,,☆,,,,,,
indeterminate,"adj. 不确定的, 含混的",,,,,,☆,,☆,
index,n. 索引；标志 A；指数 vt. 附以索引， 编入索引,,,☆,☆,☆,,,☆,
indicant,adj. 指示的；表示的 n. 指示物,,,,,,,☆,,
indicate,v.  表明， 显示； 指出， 指示； 象征， 预示； 暗示， 间接提及,,☆,☆,☆,☆,☆,,☆,
indication,n. 指示， 表示， 表明； 象征， 迹象,,,☆,☆,☆,,,☆,
indicative,adj. 象征的；指示的；表示…的 n. 陈述语气；陈述语气的动词形式,,,,☆,☆,☆,,,
indicator,n. 指示器；[试剂] 指示剂；[计] 指示符；压力计,,,,,,,☆,☆,
indices,n.指数(index的复数),,,,,,☆,,,
indict,vt.  控诉， 起诉， 控告,,,,,,☆,,☆,
indifference,n.  冷漠， 不关心,,,,,,,,☆,
indifferent,adj.  不关心的， 冷淡的， 不感兴趣的； 无偏袒的， 中立的， 公平的,,,☆,☆,☆,☆,☆,☆,
indigence,n. 穷困；贫乏；贫穷,,,,,,☆,☆,,
indigenous,adj.  本地的， 本土的； 土产的； 土著的,,,,,,☆,☆,☆,
indigent,adj.  贫困的， 贫穷的,,,,,,☆,,☆,
indigestible,"adj. 不吸收的,难理解的",,,,,,,,☆,
indigestion,n.  消化不良,,,,,,,,☆,
indignant,adj. 愤怒的， 愤慨的， 义愤的,,,☆,☆,☆,☆,☆,☆,
indignation,n. 愤怒， 愤慨， 义愤,,,,☆,☆,☆,,,
indignity,n.侮辱，轻蔑；侮辱性的言行,,,,,,☆,,,
indigo,"n. 靛, 靛青",,,,,,,,☆,
indirect,adj. 间接的， 婉转的,,,☆,,,,,☆,
indirectly,adv. 间接地,,,,,,,,☆,
indiscernible,adj.  难识别的， 看不见的,,,,,,,☆,☆,
indiscreet,adj.  不慎重的， 轻率的,,,,,,,☆,,
indiscriminate,adj. 任意的；无差别的；不分皂白的,,,,,,,☆,,
indiscriminately,adv. 不加选择地，不加区分地,,,,☆,,,,,
indispensability,n.不可缺少,,,,,,☆,,,
indispensable,adj. 不可缺少的；绝对必要的；责无旁贷的 n. 不可缺少之物；必不可少的人,,,☆,☆,☆,,,☆,
indisputable,adj.  无争论之余地的， 明白的,,,,,,,☆,,
indistinct,adj. 模糊的，不清楚的；朦胧的；难以清楚辨认的,,,,,,,☆,,
indite,v. 写，赋(诗文),,,,,,☆,,,
indium,n. [化]铟,,,,,,,,☆,
individual,adj. 个人的； 单独的； 独特的 < n. 个人， 个体,,,☆,☆,☆,☆,,☆,
individualism,"n. 个人主义, 利己主义",,,,,,,,☆,
individualistic,adj. 个人主义的,,,,,,,,☆,
individuality,"n. 个性,(通常用复数)个人的嗜好",,,,,,,,☆,
individually,"adv. 个别地,单独地",,,,,,,,☆,
indoctrinate,v.教导；灌输思想,,,,,,☆,,,
indolence,n. 懒散，懒惰；无痛,,,,,,,☆,,
indolent,adj.  懒惰的， 懒散的； 不活跃的,,,,,,☆,☆,☆,
indomitable,adj. 不屈不挠的；不服输的；不气馁的,,,,,,,☆,,
indoor,adv. 在室内， 在户内 adj. 室内的,,,☆,☆,☆,,,☆,
indoors,adv.  在屋内， 在室内,☆,,☆,,,,,,
indubitable,adj.  不容置疑的， 确实的， 明白的,,,,,,☆,☆,,
induce,vt.  引起， 导致； 诱使， 劝诱； 感应,,,☆,☆,☆,☆,☆,☆,
inducement,"n. 诱因, 刺激物",,,,,,,,☆,
inducible,"adj. 可诱导的,可导致的",,,,,,,,☆,
induct,vt.  使正式就任； 使了解， 传授； 使入伍,,,,,,☆,☆,☆,
induction,n.就职，入伍仪式；归纳,,,,☆,,☆,,,
indulge,vi. 沉溺， 纵容自己， 肆意从事 vt. 使沉溺于，满足；纵容，迁就,,,,☆,☆,☆,,☆,
indulgent,adj. 放纵的；宽容的；任性的,,,,,,,☆,,
indurate,v.使坚硬；使习惯于,,,,,,☆,,,
industrial,adj. 工业的； 产业的,,,☆,☆,☆,,,☆,
industrialise,vt. 使工业化,,,,,☆,,,,
industrialism,"n. 产业主义,工业制度",,,,,,,,☆,
industrialist,"n. 工业家, 实业家,",,,,,,,,☆,
industrialization,"n. 工业化,产业化",,,,,,,,☆,
industrialize,vt. 使工业化,,,☆,,☆,,,☆,
industrially,adv. 企业[工业]地,,,,,,,,☆,
industrious,"adj. 勤劳的, 勤奋的",,,,☆,,☆,,☆,
industry,n.  勤劳， 勤奋； 工业， 行业,☆,☆,☆,,,,,☆,
inebriate,v. 灌醉；使陶醉；使兴奋 adj. 酒醉的；醉醺醺的；陶醉的 n. 酒鬼；醉汉,,,,,,☆,☆,,
inedible,adj. 不能吃的，不宜食用的,,,,,,,,☆,
ineffable,a.妙不可言的，难用语言表达的,,,,,,☆,,,
ineffaceable,a. 抹不掉的,,,,,,☆,,,
ineffective,"adj. 无效的, (指人)工作效率低的",,,,☆,,,,☆,
ineffectual,adj. 无效的，不起作用的；徒劳无益的 n. 无用的人；无一技之长者,,,,,,☆,☆,,
inefficacious,adj.  无效力的， 无用的,,,,,,,☆,,
inefficient,"adj. 效率低的,效率差的",,,☆,,,,,☆,
inelasticity,n.无弹性，无伸缩性,,,,,,☆,,,
ineligible,a. 没有资格的,,,,,,☆,,,
ineluctable,a.不可避免的，难免的,,,,,,☆,,,
inept,adj.  不适当的； 无能的,,,,,,☆,☆,,
ineptitude,n.无能，不称职,,,,,,☆,,,
inequality,n. 不平等；不同；不平均,,,,,,,☆,☆,
inequity,n.  不公平， 不公正,,,,,,☆,☆,,
inert,adj.  无活动的， 惰性的； 不活泼的， 迟钝的,,,,,,☆,☆,☆,
inertia,n. [力] 惯性；惰性，迟钝；不活动,,,,☆,☆,☆,☆,☆,
inescapable,adj. 不可避免的,,,,☆,,,,,
inestimable,adj.  无价的， 无法估计的,,,,,,,☆,,
inevitable,adj.  不可避免的， 必然发生的,,,☆,☆,☆,,☆,☆,
inevitably,adv.  不可避免地， 必然地,,,,☆,,,,☆,
inexcusable,adj. 不可原谅的；没法辩解的；不可宽恕的,,,,,,,☆,,
inexhaustible,adj. 用不完的，无穷无尽的,,,,☆,,☆,,,
inexorable,adj. 无情的；不屈不挠的；不可阻挡的；无法改变的,,,,,,☆,☆,,
inexpedient,a. 不适当的，不明智的,,,,,,☆,,,
inexpensive,adj. 花费不多的，廉价的,,,☆,,,,,☆,
inexpiable,a. 不能补偿的,,,,,,☆,,,
inexplicable,adj. 费解的；无法说明的；不能解释的,,,,,,☆,☆,☆,
inextricably,"adv. 分不开地, 无法摆脱地",,,,,,,,☆,
infamous,adj. 声名狼藉的；无耻的；邪恶的；不名誉的,,,,,,,☆,,
infancy,n.  幼年； 初期,,,,,,,,☆,
infant,n. 婴儿；幼儿；未成年人 adj. 婴儿的；幼稚的；初期的；未成年的,,,☆,☆,☆,☆,,☆,
infantile,a.(贬)幼稚的，孩子气的(尤指大孩子或成人),,,,,,☆,,☆,
infantry,n.步兵,,,,,,☆,,,
infatuate,vt.  使迷恋； 使糊涂,,,,,,☆,,☆,
infatuated,a. 迷恋(人)的,,,,,,☆,,,
infatuation,n.迷恋,,,,,,☆,,,
infect,vt. 传染， 感染； 影响,,,☆,☆,☆,,,☆,
infection,n.  传染， 感染； 传染病,,,,,,☆,☆,☆,
infectious,adj.  传染性的， 传染病的； 有感染力的,,,,☆,☆,,,☆,
infelicitous,a.不幸的；不妥当的,,,,,,☆,,,
infelicity,n.不幸；不恰当,,,,,,☆,,,
infer,vt. 推论， 推断； 猜想,,,☆,☆,☆,☆,,,
inference,n. 推断结果， 结论； 推论， 推理， 推断,,,☆,☆,☆,,,☆,
inferential,"adj. 推理的, 推论的",,,,,,,,☆,
inferior,adj. 劣等的，较差的；次要的；级别低的 n.  下级， 下属， 晚辈,,,☆,☆,☆,☆,,☆,
inferiority,"n. 自卑, 次等",,,,☆,,,,☆,
infernal,a. 地狱的；可恶的,,,,,,☆,,,
inferno,n.火海，地狱般的场所,,,,,,☆,,,
infertile,"adj. 贫瘠的, 不能生育的",,,,,,,,☆,
infest,v. 骚扰；寄生于；大批出没；大批滋生,,,,,,☆,☆,☆,
infiltrate,v.  渗入， 渗透； 悄悄进入， 潜入,,,,,,☆,,☆,
infiltration,n. 渗透,,,,,,,,☆,
infinite,adj. 无限的，无穷的；无数的；极大的 n. 无限；[数] 无穷大；无限的东西（如空间，时间）,,,☆,☆,☆,,,☆,
infinitely,adv. 无限地，无边地,,,,☆,,,,,
infinitesimal,adj. 无穷小的；无限小的；极小的 n. 无限小；极微量；极小量,,,,,,☆,☆,,
infinitesimally,adv. 极小地,,,,,,,,☆,
infinitive,n.  原形； 不定式,☆,,,,,,,,
infinity,n.无限的时间或空间,,,,☆,,☆,,,
infirm,adj.  虚弱的； 不坚定的,,,,,,☆,,☆,
infirmary,n. 医务室；医院；养老院,,,,,,,☆,,
inflame,v.使燃烧；激怒(某人),,,,,,☆,,,
inflamed,a.发炎的,,,,,,☆,,,
inflammable,adj. 易燃的；易怒的；易激动的 n. 易燃物,,,,,,,☆,,
inflammation,n.  炎症， 发炎,,,,,,☆,,☆,
inflammatory,adj. 炎症性的；煽动性的；激动的,,,,,,,☆,,
inflate,v.  充气， 膨胀； 鼓吹， 吹捧； 涨价,,,☆,,,☆,,☆,
inflation,n.  通货膨胀， 物价上涨； 膨胀,,,☆,☆,☆,,,☆,
inflection,n. 变形,,,,,,,,☆,
inflexible,"adj. 不可弯曲的, 僵硬的",,,,,,,,☆,
inflexibly,"adv. 不弯曲地, 不屈地",,,,,,,,☆,
inflict,vt. 把…强加给； 使…遭受， 使…承担,,,,☆,,☆,,,
infliction,n. (强加于人身的)痛苦，刑罚,,,,,,☆,,,
inflow,"n. 流入, 流入物",,,,,,,,☆,
influence,v.  影响， 感化 n. 影响，影响力；产生影响力的人；势力，权势,☆,☆,☆,☆,☆,,,,
influential,adj. 有影响的；有势力的 n. 有影响力的人物,,,☆,☆,☆,,☆,☆,
influenza,n.  流行性感冒,,,,,,,,☆,
influx,n. 流入；汇集；河流的汇集处,,,,,,☆,☆,☆,
inform,vt.  通知， 通告； 了解， 熟悉； 告发， 检举， 告密,,☆,☆,,☆,,,☆,
informal,adj. 非正式的；不拘礼节的；随便的；通俗的；日常使用的,,,,,,,☆,☆,
informant,n.  提供消息或情报的人， 线人； 提供资料的人； 合作者,,,,,,,,☆,
information,n.  信息， 资料； 通知， 告知,☆,☆,☆,,☆,,,,
informative,adj.  提供消息的， 给予知识的； 见闻广博的,,,,,,,,☆,
informed,adj.  有学识的； 见多识广的， 有见识的,,,,,,☆,,☆,
informer,n. 告发者，告密者,,,,,,☆,,,
infraction,n.违法,,,,,,☆,,,
infrared,adj. 红外线的；产生红外线的 n.  红外线,,,,,☆,,☆,☆,
infrastructure,n. 基础设施；公共建设；下部构造,,,,,☆,,,☆,
infrequent,"adj. 不频发的,不常见的",,,,,,,,☆,
infrequently,"adv. 罕见地, 稀少的",,,,,,,,☆,
infringe,v.违反，侵害(法规，协议),,,,,,☆,☆,,
infuriate,v. 激怒；使大怒 adj. 狂怒的,,,,,,☆,☆,☆,
infuse,v.  输入， 注入； 浸泡,,,,,,☆,☆,,
infusion,n. 灌输,,,,,,,,☆,
ingenious,adj.  巧妙的； 聪明的， 机敏的； 善于创造发明的； 设计独特的， 别致的,,,,☆,☆,☆,☆,☆,
ingeniously,"adv. 贤明地,有才能地",,,,,,,,☆,
ingenuity,"n. 机灵, 独创性",,,,☆,,☆,,☆,
ingenuous,adj. 天真的；坦白的；正直的；朴实的,,,,,,☆,☆,,
ingest,v.咽下，吞下,,,,,,☆,,,
ingestion,n.摄取，吸收(食物)；容纳,,,,,,☆,,,
ingoing,"adj. 进入的 n. 进入,迁就",,,,,,,,☆,
ingot,"n. [冶]锭铁, 工业纯铁",,,,,,,,☆,
ingrained,a.根深蒂固的，极难除掉的,,,,,,☆,,,
ingrate,adj. 忘恩的；不知恩的 n. 忘恩负义的人,,,,,,☆,☆,,
ingratiate,v. 使迎合；使讨好；使逢迎,,,,,,☆,☆,,
ingratiating,a.讨好的，谄媚的,,,,,,☆,,,
ingredient,n. 原料；要素；组成部分 adj. 构成组成部分的,,,☆,☆,☆,☆,☆,☆,
ingress,n. 进入,,,,,,☆,,,
ingénue,n.天真无邪的少女,,,,,,☆,,,
inhabit,vt.  居住于， 栖居于,,,☆,☆,☆,☆,,☆,
inhabitant,n.居民；栖息的动物,,,☆,☆,☆,☆,,☆,
inhale,v. 吸入， 吸， 吸气,,,,☆,☆,☆,,,
inherent,adj. 固有的；内在的；与生俱来的，遗传的,,,,☆,☆,,☆,☆,
inherit,v. 继承(金钱等)；经遗传而得(性格、特征),,,☆,☆,☆,☆,,☆,
inheritance,n.  遗产， 继承物； 继承； 遗传,,,,☆,,,☆,☆,
inhibit,vt.  阻止， 妨碍， 抑制,,,,☆,☆,☆,☆,☆,
inhibition,"n. 禁止, 阻止",,,,,,,,☆,
inhibitor,n.抑制剂,,,,,,☆,,,
inhospitable,adj.  冷淡的， 不好客的；  不适合居住的，  荒凉的,,,,,,,☆,☆,
inhuman,adj. 残忍的；野蛮的；无人性的,,,,,,,☆,,
inhumane,a.不近人情的，残忍的,,,,,,☆,,,
inhume,v. 埋葬；土葬,,,,,,,☆,,
inimical,adj. 敌意的；有害的,,,,,,☆,☆,,
inimitable,a.无法仿效的，不可比拟的,,,,,,☆,,,
iniquitous,a.邪恶的，不公正的,,,,,,☆,,,
iniquity,n.邪恶，不公正,,,,,,☆,,,
initial,adj. 最初的；字首的 v. 用姓名的首字母签名 n. 词首大写字母,,☆,☆,☆,☆,☆,,☆,
initially,adv. 最初，开始,,,☆,☆,,,,,
initiate,v. 开始，创始；发起；使初步了解 n. 开始；新加入者，接受初步知识者 adj. 新加入的；接受初步知识的,,,☆,☆,☆,☆,☆,☆,
initiative,adj. 创始的； 起始的， 初步的 n. 第一步， 创始； 主动精神,,,☆,☆,☆,☆,,,
inject,vt. 注射， 给…注射； 注入， 引入， 投入,,,,☆,☆,,☆,☆,
injection,n. 注射， 注入； 充满,,,☆,,,☆,,,
injunction,n.命令，强制令,,,,,,☆,,,
injure,vt. 伤害， 损害， 使遭受损伤,☆,☆,☆,,☆,,,☆,
injurious,adj.  侮辱的， 诽谤的； 造成伤害的， 有害的,,,,,,☆,☆,☆,
injury,n. 损害， 伤害； 受伤处,,☆,☆,,☆,,,☆,
injustice,n. 不公正,,,,☆,,,,,
ink,v. 签署；涂墨水于 n. 墨水，墨汁；油墨,☆,☆,☆,,☆,,,☆,
inkling,n. 暗示；略知；模糊概念 v. 暗示 （inkle的ing形式）；略知；低声说出,,,,,,☆,☆,,
inland,n. 内地；内陆 adj. 内陆的；内地的；国内的 adv. 在内地；向内地；向内陆；在内陆,,☆,,☆,☆,,,☆,
inlet,n. 入口，进口；插入物；水湾 v. 引进; 嵌入; 插入;,,,,☆,☆,,,,
inn,n. (尤指乡村或公路边的) 旅馆 vi. 住旅馆,,☆,☆,,☆,,,☆,
innate,adj.  天生的， 固有的； 内在的， 直觉的,,,,,,☆,☆,☆,
inner,adj. 内部的；内心的 n.  内部； 内心,,,☆,,☆,,,☆,
innermost,"adj. 最里面的, 内心的",,,,,,,,☆,
innkeeper,n. 旅馆主人,,,,,,,,☆,
innocence,n.无辜，清白,,,,,,☆,,☆,
innocent,adj. 清白的， 无罪的；无害的； 没有恶意的；天真的， 单纯的； 无知的,,☆,☆,,☆,,,☆,
innocuous,adj. 无害的；无伤大雅的,,,,,,☆,☆,,
innovate,v. 创新；改革；革新,,,☆,,,,☆,☆,
innovation,n. 创新，革新；新观念；新方法；新发明,,,☆,☆,☆,☆,,☆,
innovative,adj.  革新的， 创新的； 富有革新精神的,,,☆,,,☆,☆,☆,
innovator,"n. 改革者, 革新者",,,,,,,,☆,
innuendo,n.含沙射影，暗讽,,,,,,☆,,,
innumerable,adj.  无数的， 数不清的,,,,☆,☆,,☆,☆,
inoculate,v.预防注射，打预防针,,,,,,☆,,,
inoffensive,"adj. 不触犯人的,无害的",,,,,,,,☆,
inordinate,adj. 过度的；无节制的；紊乱的,,,,,,☆,☆,,
inorganic,"adj. 无机的, 非自然生长的",,,,☆,,,,☆,
input,n. 投入；输入电路 v. [自][电子] 输入；将…输入电脑,,,☆,☆,☆,,☆,☆,
inquire,v. 询问；打听；问好， 问候,,,☆,☆,☆,,,☆,
inquiry,n. 打听， 询问；调查， 研究,,,☆,,☆,☆,,,
inquisitive,a.过分好问的；好奇的,,,,,,☆,,,
inroad,n.突袭；消耗,,,,,,☆,,,
insane,adj. 极蠢的， 荒唐的； 精神病的， 精神失常的， 疯狂的,,,,☆,,☆,,,
insanity,"n. 精神错乱, 疯狂, 愚顽",,,,,,☆,,☆,
insatiable,adj.  不知足的， 贪求无厌的,,,,,,☆,☆,☆,
inscribe,v.  写、 题、 铭刻； 铭记,,,,,,☆,,☆,
inscription,"n. 题字, 碑铭",,,,,,☆,,☆,
inscrutable,adj. 神秘的；不可理解的；不能预测的；不可思议的,,,,,,☆,☆,,
insect,n. 昆虫；卑鄙的人,☆,☆,☆,☆,☆,,,☆,
insecticide,n.杀虫剂,,,,,,☆,,,
insecure,"adj. 不安全的,不稳固的",,,☆,,,,,☆,
insensate,adj. 无感觉的；无情的；无生命的,,,,,,☆,☆,,
insensible,adj.  失去知觉的； 麻木不仁的； 无感觉的,,,,,,,☆,,
insensitivity,"n. 感觉迟钝,不灵敏性",,,,,,,,☆,
insentient,a.无知觉的，无生命的,,,,,,☆,,,
insert,v. 插入；嵌入 n. 插入物；管芯；镶块；[机械]刀片,,☆,☆,☆,☆,☆,,☆,
inside,n. 里面；内部；内情；内脏 adj. 里面的；内部的；秘密的 adv. 在里面 prep. 少于；在…之内,☆,☆,☆,,☆,,,☆,
insider,n.局内人，圈内人,,,,,,☆,,,
insidious,adj. 阴险的；隐伏的；暗中为害的；狡猾的,,,,,,☆,☆,,
insight,n. 洞察力； 洞悉， 深刻的见解,,,☆,☆,☆,,☆,☆,
insightful,"adj. 有深刻见解的, 富有洞察力的",,,,,,,☆,☆,
insignia,n.徽章，袖章,,,,,,☆,,,
insignificant,"adj. 无关紧要的,  可忽略的",,,,☆,,,☆,☆,
insincerity,n.伪善，不真诚,,,,,,☆,,,
insinuate,v. 暗示；使逐渐而巧妙地取得；使迂回地潜入,,,,,,☆,☆,,
insipid,adj.  无情趣的； 乏味的,,,,,,☆,☆,,
insist,v.  坚持要求， 强调； 坚决主张； 坚持说， 固执地声称,☆,☆,☆,☆,☆,,,☆,
insistence,n.  坚持， 坚决主张,,,,,,,,☆,
insistent,adj. 坚持的,,,,☆,,,,,
insolate,v. 使曝晒,,,,,,☆,,,
insolence,n.傲慢，无礼,,,,,,☆,,,
insolent,adj. 无礼的；傲慢的；粗野的；无耻的,,,,,,☆,☆,,
insoluble,"adj. 不能溶解的, 不能解决的",,,,,,☆,,☆,
insolvency,n.无力偿还；破产,,,,,,☆,,,
insolvent,adj.  财力不足的， 破产的,,,,,,,,☆,
insomnia,n.失眠症,,,,,,☆,,,
insouciance,n. 无忧无虑；漫不经心；满不在乎,,,,,,☆,☆,,
insouciant,a.漫不经心的，漠不关心的,,,,,,☆,,,
inspect,vi. 进行检查； 进行视察 vt. 检查，审查；检阅,,☆,☆,,☆,,,☆,
inspection,n. 检阅；检查，审查,,,☆,,,☆,☆,☆,
inspector,"n. 检查员, 巡视员",,,☆,☆,,,,☆,
inspiration,n.  吸入， 吸气； 鼓舞， 激动； 灵感,,,☆,☆,☆,☆,☆,☆,
inspire,v.  鼓舞， 感动， 激发， 启示， 使生灵感； 吸入,,☆,☆,☆,☆,,☆,☆,
inspired,a.有创见的，有灵感的,,,,,,☆,,,
inspiring,adj. 鼓舞人心的；灌输的；启发灵感的 v. 鼓舞；激发；使感悟（inspire的ing形式）,,,,,,,☆,,
instability,n. 不稳定(性),,,,☆,☆,,,☆,
install,vt. 安装， 设置； 使就职， 任命,,,☆,☆,☆,☆,,☆,
installation,n. 安装； 装置， 设施； 就任， 就职,,,☆,,☆,,,☆,
installment,n. 分期付款， 分期交付；一集； 一期,,,☆,☆,☆,☆,,,
instalment,n. 分期付款， 分期交付；一集； 一期,,,,,☆,,,,
instance,n. 实例；情况；建议 v. 举为例,☆,,☆,☆,☆,,☆,☆,
instant,adj. 立即的， 直接的；紧迫的；速溶的； 方便的 n. 瞬间， 时刻,,☆,☆,☆,☆,,☆,,
instantaneous,adj.  瞬间的， 即刻的， 立即的,,,,☆,☆,☆,☆,☆,
instantaneously,"adv. 即刻,突如其来地",,,,,,,,☆,
instantly,"adv. 立即地, 即刻地",,,☆,,,,,☆,
instate,v.任命，安置,,,,,,☆,,,
instead,adv.  作为替代， 顶替； 反而， 却,☆,☆,☆,,,,,☆,
instigate,v. 唆使；煽动；教唆；怂恿,,,,,,☆,☆,☆,
instill,vt.  慢慢灌输； 逐渐培养,,,,,,☆,☆,☆,
instinct,n. 本能，直觉；天性 adj. 充满着的,,,☆,☆,☆,,☆,☆,
instinctive,"adj. 本能的,直觉的",,,,,,☆,,☆,
instinctively,adv. 本能地,,,,☆,,,,☆,
instinctual,adj.  本能的,,,,,,,,☆,
institute,v. 开始（调查）；制定；创立；提起（诉讼） n. 学会，协会；学院,,☆,☆,☆,☆,☆,,☆,
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗,,☆,☆,☆,☆,☆,,☆,
institutionalized,a.制度化的，有组织的,,,,,,☆,,,
instruct,vt. 指示， 命令； 通知； 教授， 训练,,☆,☆,☆,☆,,☆,☆,
instruction,n. 命令， 指示； 用法说明； 教学， 教导,☆,☆,☆,,☆,,,☆,
instructional,adj. 指导的， 教育的,,,,☆,,,,,
instructive,"adj. 有益的, 教育性的",,,,,,☆,,☆,
instructor,n.  导师， 讲师； 教练， 指导员,,,,☆,,,,☆,
instrument,n.  仪器， 器械， 工具； 乐器,☆,☆,☆,☆,☆,,☆,☆,
instrumental,adj. 乐器的；有帮助的；仪器的，器械的 n. 器乐曲；工具字，工具格,,,,☆,☆,☆,,,
instrumentalist,n. 乐器演奏家,,,,,,☆,,☆,
insubordinate,a.不服从的，反抗的,,,,,,☆,,,
insubstantial,a.非实体的；薄弱的，不坚实的,,,,,,☆,,,
insufficient,adj.  不足的， 不够的,,,☆,☆,,☆,,☆,
insular,a.岛屿的；心胸狭窄的,,,,,,☆,,,
insularity,"n.岛国状态，岛屿生活状况，与外界隔绝的生活状况；(思想, 观点等的)偏狭",,,,,,☆,,,
insulate,vt. 使绝缘， 使隔热， 使隔音； 隔离， 使隔绝,,,,☆,☆,☆,☆,☆,
insulation,n. 绝缘,,,,☆,,,,☆,
insulator,n. [物] 绝缘体；从事绝缘工作的工人,,,,☆,,,☆,☆,
insulin,n. [生化][药] 胰岛素,,,,,,☆,☆,☆,
insult,v. 侮辱；辱骂；损害 n. 侮辱；凌辱；无礼,,,☆,,☆,,,☆,
insuperable,a. 难以克服的,,,,,,☆,,,
insurance,n. 保险；保险费；保险契约；赔偿金,,☆,☆,☆,☆,,,☆,
insure,vt.  保险， 给…保险； 保证,,☆,☆,,☆,,☆,☆,
insurer,n. 保险公司；承保人,,,,☆,,,,,
insurgent,adj. 叛乱的；起义的 n. 叛乱者；起义者,,,,,,☆,☆,,
insurmountable,"adj. 不能克服的,不能超越的",,,,,,,,☆,
insurrection,n.造反，叛乱,,,,,,☆,,,
